id_linha,id_pedido,data_pedido,data_envio,modo_envio,id_cliente,nome_cliente,segmento,pais,cidade,estado,codigo_postal,regiao,id_produto,categoria,subcategoria,nome_produto,vendas,quantidade,desconto,lucro,dias_entrega,margem_lucro,ano_mes
13,CA-2017-114412,2017-04-15,2017-04-20,Classe Padrão,AA-10480,Andrew Allen,Consumidor,United States,Concord,North Carolina,28027,Sul,OFF-PA-10002365,Materiais de Escritório,Paper,Xerox 1967,15.552,3,0.2,5.4432,5,35.0,2017-04
14,CA-2016-161389,2016-12-05,2016-12-10,Classe Padrão,IM-15070,Irene Maddox,Consumidor,United States,Seattle,Washington,98103,Oeste,OFF-BI-10003656,Materiais de Escritório,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,5,32.49999999999999,2016-12
15,US-2015-118983,2015-11-22,2015-11-26,Classe Padrão,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Materiais de Escritório,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,4,-180.0,2015-11
16,US-2015-118983,2015-11-22,2015-11-26,Classe Padrão,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Materiais de Escritório,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,4,-150.0,2015-11
17,CA-2014-105893,2014-11-11,2014-11-18,Classe Padrão,PK-19075,Pete Kriz,Consumidor,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Materiais de Escritório,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,7,2.0,2014-11
18,CA-2014-167164,2014-05-13,2014-05-15,Segunda Classe,AG-10270,Alejandro Grove,Consumidor,United States,West Jordan,Utah,84084,Oeste,OFF-ST-10000107,Materiais de Escritório,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2,18.0,2014-05
19,CA-2014-143336,2014-08-27,2014-09-01,Segunda Classe,ZD-21925,Zuschuss Donatelli,Consumidor,United States,San Francisco,California,94109,Oeste,OFF-AR-10003056,Materiais de Escritório,Art,Newell 341,8.56,2,0.0,2.4824,5,28.999999999999996,2014-08
20,CA-2014-143336,2014-08-27,2014-09-01,Segunda Classe,ZD-21925,Zuschuss Donatelli,Consumidor,United States,San Francisco,California,94109,Oeste,TEC-PH-10001949,Tecnologia,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,5,7.5,2014-08
21,CA-2014-143336,2014-08-27,2014-09-01,Segunda Classe,ZD-21925,Zuschuss Donatelli,Consumidor,United States,San Francisco,California,94109,Oeste,OFF-BI-10002215,Materiais de Escritório,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,5,32.5,2014-08
22,CA-2016-137330,2016-12-09,2016-12-13,Classe Padrão,KB-16585,Ken Black,Corporativo,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Materiais de Escritório,Art,Newell 318,19.46,7,0.0,5.0596,4,25.999999999999996,2016-12
23,CA-2016-137330,2016-12-09,2016-12-13,Classe Padrão,KB-16585,Ken Black,Corporativo,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Materiais de Escritório,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,4,25.999999999999996,2016-12
24,US-2017-156909,2017-07-16,2017-07-18,Segunda Classe,SF-20065,Sandra Flanagan,Consumidor,United States,Philadelphia,Pennsylvania,19140,Leste,FUR-CH-10002774,Móveis,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2,-1.4285714285714286,2017-07
25,CA-2015-106320,2015-09-25,2015-09-30,Classe Padrão,EB-13870,Emily Burns,Consumidor,United States,Orem,Utah,84057,Oeste,FUR-TA-10000577,Móveis,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,5,23.0,2015-09
26,CA-2016-121755,2016-01-16,2016-01-20,Segunda Classe,EH-13945,Eric Hoffmann,Consumidor,United States,Los Angeles,California,90049,Oeste,OFF-BI-10001634,Materiais de Escritório,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,4,36.25000000000001,2016-01
27,CA-2016-121755,2016-01-16,2016-01-20,Segunda Classe,EH-13945,Eric Hoffmann,Consumidor,United States,Los Angeles,California,90049,Oeste,TEC-AC-10003027,Tecnologia,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,4,13.0,2016-01
28,US-2015-150630,2015-09-17,2015-09-21,Classe Padrão,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,Leste,FUR-BO-10004834,Móveis,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,4,-54.0,2015-09
29,US-2015-150630,2015-09-17,2015-09-21,Classe Padrão,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,Leste,OFF-BI-10000474,Materiais de Escritório,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,4,-73.33333333333334,2015-09
30,US-2015-150630,2015-09-17,2015-09-21,Classe Padrão,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,Leste,FUR-FU-10004848,Móveis,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,4,12.5,2015-09
31,US-2015-150630,2015-09-17,2015-09-21,Classe Padrão,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,Leste,OFF-EN-10001509,Materiais de Escritório,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,4,33.75,2015-09
32,US-2015-150630,2015-09-17,2015-09-21,Classe Padrão,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,Leste,OFF-AR-10004042,Materiais de Escritório,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,4,11.249999999999998,2015-09
33,US-2015-150630,2015-09-17,2015-09-21,Classe Padrão,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,Leste,OFF-BI-10001525,Materiais de Escritório,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,4,-83.33333333333334,2015-09
34,US-2015-150630,2015-09-17,2015-09-21,Classe Padrão,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,Leste,OFF-AR-10001683,Materiais de Escritório,Art,Lumber Crayons,15.76,2,0.2,3.546,4,22.499999999999996,2015-09
35,CA-2017-107727,2017-10-19,2017-10-23,Segunda Classe,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Materiais de Escritório,Paper,Easy-staple paper,29.472,3,0.2,9.9468,4,33.75,2017-10
36,CA-2016-117590,2016-12-08,2016-12-10,Primeira Classe,GH-14485,Gene Hale,Corporativo,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Tecnologia,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,2,11.249999999999998,2016-12
37,CA-2016-117590,2016-12-08,2016-12-10,Primeira Classe,GH-14485,Gene Hale,Corporativo,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Móveis,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,2,-77.5,2016-12
38,CA-2015-117415,2015-12-27,2015-12-31,Classe Padrão,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Materiais de Escritório,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,4,31.25,2015-12
39,CA-2015-117415,2015-12-27,2015-12-31,Classe Padrão,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Móveis,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,4,-8.823529411764707,2015-12
40,CA-2015-117415,2015-12-27,2015-12-31,Classe Padrão,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Móveis,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,4,-7.142857142857144,2015-12
41,CA-2015-117415,2015-12-27,2015-12-31,Classe Padrão,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Tecnologia,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,4,11.25,2015-12
42,CA-2017-120999,2017-09-10,2017-09-15,Classe Padrão,LC-16930,Linda Cazamias,Corporativo,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Tecnologia,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,5,11.249999999999998,2017-09
43,CA-2016-101343,2016-07-17,2016-07-22,Classe Padrão,RA-19885,Ruben Ausman,Corporativo,United States,Los Angeles,California,90049,Oeste,OFF-ST-10003479,Materiais de Escritório,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,5,5.0,2016-07
44,CA-2017-139619,2017-09-19,2017-09-23,Classe Padrão,ES-14080,Erin Smith,Corporativo,United States,Melbourne,Florida,32935,Sul,OFF-ST-10003282,Materiais de Escritório,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,4,10.0,2017-09
45,CA-2016-118255,2016-03-11,2016-03-13,Primeira Classe,ON-18715,Odella Nelson,Corporativo,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Tecnologia,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,2,43.00000000000001,2016-03
46,CA-2016-118255,2016-03-11,2016-03-13,Primeira Classe,ON-18715,Odella Nelson,Corporativo,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Materiais de Escritório,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,2,47.0,2016-03
47,CA-2014-146703,2014-10-20,2014-10-25,Segunda Classe,PO-18865,Patrick O'Donnell,Consumidor,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Materiais de Escritório,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,5,4.0,2014-10
48,CA-2016-169194,2016-06-20,2016-06-25,Classe Padrão,LH-16900,Lena Hernandez,Consumidor,United States,Dover,Delaware,19901,Leste,TEC-AC-10002167,Tecnologia,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,5,11.0,2016-06
49,CA-2016-169194,2016-06-20,2016-06-25,Classe Padrão,LH-16900,Lena Hernandez,Consumidor,United States,Dover,Delaware,19901,Leste,TEC-PH-10003988,Tecnologia,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,5,27.999999999999996,2016-06
50,CA-2015-115742,2015-04-18,2015-04-22,Classe Padrão,DP-13000,Darren Powers,Consumidor,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Materiais de Escritório,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,4,47.0,2015-04
51,CA-2015-115742,2015-04-18,2015-04-22,Classe Padrão,DP-13000,Darren Powers,Consumidor,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Materiais de Escritório,Labels,Avery 485,75.18,6,0.0,35.3346,4,47.0,2015-04
52,CA-2015-115742,2015-04-18,2015-04-22,Classe Padrão,DP-13000,Darren Powers,Consumidor,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Móveis,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,4,48.0,2015-04
53,CA-2015-115742,2015-04-18,2015-04-22,Classe Padrão,DP-13000,Darren Powers,Consumidor,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Móveis,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,4,19.0,2015-04
54,CA-2016-105816,2016-12-11,2016-12-17,Classe Padrão,JM-15265,Janet Molinari,Corporativo,United States,New York City,New York,10024,Leste,OFF-FA-10000304,Materiais de Escritório,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,6,41.0,2016-12
55,CA-2016-105816,2016-12-11,2016-12-17,Classe Padrão,JM-15265,Janet Molinari,Corporativo,United States,New York City,New York,10024,Leste,TEC-PH-10002447,Tecnologia,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,6,28.999999999999996,2016-12
56,CA-2016-111682,2016-06-17,2016-06-18,Primeira Classe,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,Leste,OFF-ST-10000604,Materiais de Escritório,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,1,25.0,2016-06
57,CA-2016-111682,2016-06-17,2016-06-18,Primeira Classe,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,Leste,OFF-PA-10001569,Materiais de Escritório,Paper,Xerox 232,32.4,5,0.0,15.552,1,48.0,2016-06
58,CA-2016-111682,2016-06-17,2016-06-18,Primeira Classe,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,Leste,FUR-CH-10003968,Móveis,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,1,2.222222222222222,2016-06
59,CA-2016-111682,2016-06-17,2016-06-18,Primeira Classe,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,Leste,OFF-PA-10000587,Materiais de Escritório,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,1,48.0,2016-06
60,CA-2016-111682,2016-06-17,2016-06-18,Primeira Classe,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,Leste,TEC-AC-10002167,Tecnologia,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,1,11.0,2016-06
61,CA-2016-111682,2016-06-17,2016-06-18,Primeira Classe,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,Leste,OFF-BI-10001460,Materiais de Escritório,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,1,33.75,2016-06
62,CA-2016-111682,2016-06-17,2016-06-18,Primeira Classe,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,Leste,OFF-AR-10001868,Materiais de Escritório,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,1,50.0,2016-06
63,CA-2015-135545,2015-11-24,2015-11-30,Classe Padrão,KM-16720,Kunst Miller,Consumidor,United States,Los Angeles,California,90004,Oeste,TEC-AC-10004633,Tecnologia,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,6,44.0,2015-11
64,CA-2015-135545,2015-11-24,2015-11-30,Classe Padrão,KM-16720,Kunst Miller,Consumidor,United States,Los Angeles,California,90004,Oeste,OFF-BI-10001078,Materiais de Escritório,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,6,36.25,2015-11
65,CA-2015-135545,2015-11-24,2015-11-30,Classe Padrão,KM-16720,Kunst Miller,Consumidor,United States,Los Angeles,California,90004,Oeste,OFF-PA-10003892,Materiais de Escritório,Paper,Xerox 1943,146.73,3,0.0,68.9631,6,47.0,2015-11
66,CA-2015-135545,2015-11-24,2015-11-30,Classe Padrão,KM-16720,Kunst Miller,Consumidor,United States,Los Angeles,California,90004,Oeste,FUR-FU-10000397,Móveis,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,6,27.999999999999996,2015-11
67,US-2015-164175,2015-04-30,2015-05-05,Classe Padrão,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Móveis,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,5,-7.142857142857142,2015-04
68,CA-2014-106376,2014-12-05,2014-12-10,Classe Padrão,BS-11590,Brendan Sweed,Corporativo,United States,Gilbert,Arizona,85234,Oeste,OFF-AR-10002671,Materiais de Escritório,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,5,10.000000000000002,2014-12
69,CA-2014-106376,2014-12-05,2014-12-10,Classe Padrão,BS-11590,Brendan Sweed,Corporativo,United States,Gilbert,Arizona,85234,Oeste,TEC-PH-10002726,Tecnologia,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,5,37.5,2014-12
70,CA-2016-119823,2016-06-04,2016-06-06,Primeira Classe,KD-16270,Karen Daniels,Consumidor,United States,Springfield,Virginia,22153,Sul,OFF-PA-10000482,Materiais de Escritório,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,2,47.00000000000001,2016-06
71,CA-2016-106075,2016-09-18,2016-09-23,Classe Padrão,HM-14980,Henry MacAllister,Consumidor,United States,New York City,New York,10009,Leste,OFF-BI-10004654,Materiais de Escritório,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,5,37.50000000000001,2016-09
72,CA-2017-114440,2017-09-14,2017-09-17,Segunda Classe,TB-21520,Tracy Blumstein,Consumidor,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Materiais de Escritório,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,3,46.0,2017-09
73,US-2015-134026,2015-04-26,2015-05-02,Classe Padrão,JE-15745,Joel Eaton,Consumidor,United States,Memphis,Tennessee,38109,Sul,FUR-CH-10000513,Móveis,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,6,-13.749999999999998,2015-04
74,US-2015-134026,2015-04-26,2015-05-02,Classe Padrão,JE-15745,Joel Eaton,Consumidor,United States,Memphis,Tennessee,38109,Sul,FUR-FU-10003708,Móveis,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,6,1.25,2015-04
75,US-2015-134026,2015-04-26,2015-05-02,Classe Padrão,JE-15745,Joel Eaton,Consumidor,United States,Memphis,Tennessee,38109,Sul,OFF-ST-10004123,Materiais de Escritório,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,6,-25.0,2015-04
76,US-2017-118038,2017-12-09,2017-12-11,Primeira Classe,KB-16600,Ken Brennan,Corporativo,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Materiais de Escritório,Binders,Economy Binders,1.248,3,0.8,-1.9344,2,-154.99999999999997,2017-12
77,US-2017-118038,2017-12-09,2017-12-11,Primeira Classe,KB-16600,Ken Brennan,Corporativo,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Móveis,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,2,-60.0,2017-12
78,US-2017-118038,2017-12-09,2017-12-11,Primeira Classe,KB-16600,Ken Brennan,Corporativo,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Materiais de Escritório,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,2,10.000000000000002,2017-12
79,US-2014-147606,2014-11-26,2014-12-01,Segunda Classe,JE-15745,Joel Eaton,Consumidor,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Móveis,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,5,-75.0,2014-11
80,CA-2016-127208,2016-06-12,2016-06-15,Primeira Classe,SC-20770,Stewart Carmichael,Corporativo,United States,Decatur,Alabama,35601,Sul,OFF-AP-10002118,Materiais de Escritório,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,3,27.0,2016-06
81,CA-2016-127208,2016-06-12,2016-06-15,Primeira Classe,SC-20770,Stewart Carmichael,Corporativo,United States,Decatur,Alabama,35601,Sul,OFF-BI-10002309,Materiais de Escritório,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,3,48.00000000000001,2016-06
82,CA-2014-139451,2014-10-12,2014-10-16,Classe Padrão,DN-13690,Duane Noonan,Consumidor,United States,San Francisco,California,94122,Oeste,OFF-AR-10002053,Materiais de Escritório,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,4,27.999999999999996,2014-10
83,CA-2014-139451,2014-10-12,2014-10-16,Classe Padrão,DN-13690,Duane Noonan,Consumidor,United States,San Francisco,California,94122,Oeste,OFF-ST-10002370,Materiais de Escritório,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,4,28.999999999999996,2014-10
84,CA-2015-149734,2015-09-03,2015-09-08,Classe Padrão,JC-16105,Julie Creighton,Corporativo,United States,Durham,North Carolina,27707,Sul,OFF-EN-10000927,Materiais de Escritório,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,5,31.25,2015-09
85,US-2017-119662,2017-11-13,2017-11-16,Primeira Classe,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Materiais de Escritório,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,3,-21.25,2017-11
86,CA-2017-140088,2017-05-28,2017-05-30,Segunda Classe,PO-18865,Patrick O'Donnell,Consumidor,United States,Columbia,South Carolina,29203,Sul,FUR-CH-10000863,Móveis,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,2,11.000000000000002,2017-05
87,CA-2017-155558,2017-10-26,2017-11-02,Classe Padrão,PG-18895,Paul Gonzalez,Consumidor,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Tecnologia,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,7,34.0,2017-10
88,CA-2017-155558,2017-10-26,2017-11-02,Classe Padrão,PG-18895,Paul Gonzalez,Consumidor,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Materiais de Escritório,Labels,Avery 511,6.16,2,0.0,2.9568,7,48.0,2017-10
89,CA-2016-159695,2016-04-05,2016-04-10,Segunda Classe,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Materiais de Escritório,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,5,8.75,2016-04
90,CA-2016-109806,2016-09-17,2016-09-22,Classe Padrão,JS-15685,Jim Sink,Corporativo,United States,Los Angeles,California,90036,Oeste,OFF-AR-10004930,Materiais de Escritório,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,5,32.99999999999999,2016-09
91,CA-2016-109806,2016-09-17,2016-09-22,Classe Padrão,JS-15685,Jim Sink,Corporativo,United States,Los Angeles,California,90036,Oeste,TEC-PH-10004093,Tecnologia,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,5,11.249999999999998,2016-09
92,CA-2016-109806,2016-09-17,2016-09-22,Classe Padrão,JS-15685,Jim Sink,Corporativo,United States,Los Angeles,California,90036,Oeste,OFF-PA-10000304,Materiais de Escritório,Paper,Xerox 1995,6.48,1,0.0,3.1104,5,47.99999999999999,2016-09
